ArticleLabel,DiseaseLabel,ChemicalLabel
20731709,"Child Development Disorders, Pervasive",Olanzapine
20731709,"Child Development Disorders, Pervasive",Oxidopamine
20731709,"Child Development Disorders, Pervasive",Ozone
22231481,"Child Development Disorders, Pervasive",Ozone
20731709,"Child Development Disorders, Pervasive",Paliperidone Palmitate
20731709,"Child Development Disorders, Pervasive",Paraquat
22231481,"Child Development Disorders, Pervasive",Paraquat
20442744,"Child Development Disorders, Pervasive",Paraquat
22231481,"Child Development Disorders, Pervasive",Particulate Matter
20442744,"Child Development Disorders, Pervasive",Particulate Matter
20442744,"Child Development Disorders, Pervasive",perfluorohexanesulfonic acid
22231481,"Child Development Disorders, Pervasive",perfluorooctanesulfonamide
22231481,"Child Development Disorders, Pervasive",perfluorooctane sulfonic acid
22231481,"Child Development Disorders, Pervasive",Permethrin
20731709,"Child Development Disorders, Pervasive",PGW5 compound
22231481,"Child Development Disorders, Pervasive",Phenobarbital
20442744,"Child Development Disorders, Pervasive",Phenobarbital
20731709,"Child Development Disorders, Pervasive",Phenylmercuric Acetate
20731709,"Child Development Disorders, Pervasive",Picrotoxin
20442744,"Child Development Disorders, Pervasive",pirinixic acid
20731709,"Child Development Disorders, Pervasive",Plant Extracts
22231481,"Child Development Disorders, Pervasive",Potassium Chloride
20442744,"Child Development Disorders, Pervasive",potassium chromate(VI)
22231481,"Child Development Disorders, Pervasive","pregna-4,17-diene-3,16-dione"
20731709,"Child Development Disorders, Pervasive",Progesterone
22231481,"Child Development Disorders, Pervasive",Propylthiouracil
20731709,"Child Development Disorders, Pervasive",pyridaben
20442744,"Child Development Disorders, Pervasive",pyridaben
22231481,"Child Development Disorders, Pervasive",pyrimidin-2-one beta-ribofuranoside
20731709,"Child Development Disorders, Pervasive",Quercetin
20442744,"Child Development Disorders, Pervasive",Quercetin
20731709,"Child Development Disorders, Pervasive",Resveratrol
22231481,"Child Development Disorders, Pervasive",Resveratrol
20442744,"Child Development Disorders, Pervasive",Resveratrol
17069545,"Child Development Disorders, Pervasive",Risperidone
20731709,"Child Development Disorders, Pervasive",Risperidone
20731709,"Child Development Disorders, Pervasive",ropinirole
22231481,"Child Development Disorders, Pervasive",Rotenone
20731709,"Child Development Disorders, Pervasive",sarizotan
22231481,"Child Development Disorders, Pervasive",Saxitoxin
25252317,"Child Development Disorders, Pervasive",Selective Serotonin Reuptake Inhibitors
20731709,"Child Development Disorders, Pervasive",Silver
20442744,"Child Development Disorders, Pervasive",Silver
20731709,"Child Development Disorders, Pervasive",Smoke
22231481,"Child Development Disorders, Pervasive",Smoke
22231481,"Child Development Disorders, Pervasive",sodium arsenate
22231481,"Child Development Disorders, Pervasive",sodium arsenite
22231481,"Child Development Disorders, Pervasive",Sorafenib
20731709,"Child Development Disorders, Pervasive",Spiperone
22231481,"Child Development Disorders, Pervasive",Succimer
22231481,"Child Development Disorders, Pervasive",Sulfadimethoxine
20442744,"Child Development Disorders, Pervasive",Sunitinib
20731709,"Child Development Disorders, Pervasive",Temozolomide
22231481,"Child Development Disorders, Pervasive",tert-Butylhydroperoxide
22231481,"Child Development Disorders, Pervasive",Testosterone
22231481,"Child Development Disorders, Pervasive",Tetrachlorodibenzodioxin
20442744,"Child Development Disorders, Pervasive",Tetrachlorodibenzodioxin
22231481,"Child Development Disorders, Pervasive",Tetradecanoylphorbol Acetate
20442744,"Child Development Disorders, Pervasive",Thalidomide
20731709,"Child Development Disorders, Pervasive",titanium dioxide
22231481,"Child Development Disorders, Pervasive",titanium dioxide
20442744,"Child Development Disorders, Pervasive",titanium dioxide
20731709,"Child Development Disorders, Pervasive",Tobacco Smoke Pollution
22231481,"Child Development Disorders, Pervasive",Tobacco Smoke Pollution
20442744,"Child Development Disorders, Pervasive",Tobacco Smoke Pollution
15650499,"Child Development Disorders, Pervasive",Topiramate
20731709,"Child Development Disorders, Pervasive",Trichloroethylene
20731709,"Child Development Disorders, Pervasive",trichostatin A
22231481,"Child Development Disorders, Pervasive",trichostatin A
22231481,"Child Development Disorders, Pervasive",Triclosan
20442744,"Child Development Disorders, Pervasive",triphenyl phosphate
20442744,"Child Development Disorders, Pervasive",triptonide
22231481,"Child Development Disorders, Pervasive","tris(1,3-dichloro-2-propyl)phosphate"
22231481,"Child Development Disorders, Pervasive",Tungsten
20442744,"Child Development Disorders, Pervasive",Tungsten
20442744,"Child Development Disorders, Pervasive",Urethane
15491979,"Child Development Disorders, Pervasive",Valproic Acid
20633039,"Child Development Disorders, Pervasive",Valproic Acid
20731709,"Child Development Disorders, Pervasive",Valproic Acid
22231481,"Child Development Disorders, Pervasive",Valproic Acid
20442744,"Child Development Disorders, Pervasive",Valproic Acid
20442744,"Child Development Disorders, Pervasive",Vancomycin
20731709,"Child Development Disorders, Pervasive",vinclozolin
20442744,"Child Development Disorders, Pervasive",vinylidene chloride
22231481,"Child Development Disorders, Pervasive",Volatile Organic Compounds
22231481,"Child Development Disorders, Pervasive",withaferin A
20731709,"Child Development Disorders, Pervasive",Zinc
22231481,"Child Development Disorders, Pervasive",Zolpidem
35663546,Autism Spectrum Disorder,"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide"
35663546,Autism Spectrum Disorder,"10,11-dihydro-10-hydroxycarbamazepine"
21254450,Autism Spectrum Disorder,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine
35663546,Autism Spectrum Disorder,10-(6'-plastoquinonyl)decyltriphenylphosphonium
35663546,Autism Spectrum Disorder,10-deacetylpaclitaxel
35663546,Autism Spectrum Disorder,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide
35663546,Autism Spectrum Disorder,10-hydroxynortriptyline
35663546,Autism Spectrum Disorder,10-hydroxywarfarin
35663546,Autism Spectrum Disorder,10-nitro-oleic acid
35663546,Autism Spectrum Disorder,"1,10-phenanthroline"
24781735,Autism Spectrum Disorder,"1,10-phenanthroline"
30503813,Autism Spectrum Disorder,"1,10-phenanthroline"
35663546,Autism Spectrum Disorder,"11,12,15-trihydroxyeicosatrienoic acid"
30890645,Autism Spectrum Disorder,"11,12-dihydroxyeicosatrienoic acid"
35663546,Autism Spectrum Disorder,"11,12-dihydroxyeicosatrienoic acid"
35663546,Autism Spectrum Disorder,"11,12-epoxy-5,8,14-eicosatrienoic acid"
30890645,Autism Spectrum Disorder,"11,12-epoxy-5,8,14-eicosatrienoic acid"
35663546,Autism Spectrum Disorder,"11,14,15-trihydroxyeicosa-5,8,12-trienoic acid"
35663546,Autism Spectrum Disorder,"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid"
35663546,Autism Spectrum Disorder,"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane"
21572417,Autism Spectrum Disorder,"1,1,1-trichloroethane"
35663546,Autism Spectrum Disorder,"1,12-benzoperylene"
20868653,Autism Spectrum Disorder,"1,12-benzoperylene"
